judul,dosen
IMPLEMENTASI ALGORITMA K- NEAREST NEIGHBOUR UNTUK MEMPREDIKSI KESEHATAN DAN MORTALITAS AYAM BROILER MENGGUNAKAN DATA HISTORIS DI SNAKMA,"Farid Akbar Siregar S.Kom.,M.Kom"
IMPLEMENTASI ALGORITMA DIJKSTRA DALAM PEMILIHAN LOKASI CABANG BARU TERBAIK PADA USAHA MIKRO KECIL DAN MENENGAH (UMKM) SABINA COLLECTION,"Rizaldy Khair S.Kom.,M.Kom"
RANCANG BANGUN DESAIN VR SEBAGAI MEDIA PENGENALAN FAKULTAS ILMU KOMPUTER DAN TEKNOLOGI INFORMASI UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,"Farid Akbar Siregar S.Kom.,M.Kom"
ANALISIS DAN IMPLEMENTASI METODE NAÏVE BAYES DALAM MENDIAGNOSIS STATUS GIZI BALITA UNTUK OPTIMALISASI PEMBERIAN MPASI SEBAGAI UPAYA PENCEGAHAN STUNTING,"Dr.Firahmi Rizky,S.Kom.,M.Kom"
PENERAPAN TANDA TANGAN DIGITAL DALAM PENGAMANAN DATA IJAZAH BEBRASIS QR CODE DENGAN ALGORITMA RSA PADA YAYASAN ISLAMIC CENTRE SUMUT,"dr.Guntur Rambey,S.H.,MH"
ANALISIS DAN IMPLEMENTASI KINERJA K-NEAREST NEIGHBOR DALAM MENENTUKAN KELAYAKAN PEMILIHAN HEWAN DOMBA DI PT ARJUNA FARM,"Rizaldy Khair S.Kom.,M.Kom"
ANALISIS SENTIMEN PENGGUNA APLIKASI OVO PADA MEDIA SOSIAL X MENGGUNAKAN NAÏVE BAYES DAN SUPPORT VECTOR MACHINE (SVM),"Rizaldy Khair S.Kom.,M.Kom"
ANALISIS PERBANDINGAN ALGORITMA K-MEANS DAN DBSCAN DALAM CLUSTERING KONDISI EKONOMI MASYARAKAT DI KELURAHAN PULO BRAYAN DARAT 1,"Rizaldy Khair S.Kom.,M.Kom"
ANALISIS PREDIKSI PENJUALAN PRODUK TERLARIS DI PT. ARMA ANUGRAH ABADI (AROMA PRIMA) MENGGUNAKAN ALGORITMA RANDOM FOREST,"Halim Maulana,S.T.,M.Kom"
PENERAPANDALAMPEMBANGUNANSISTEMKASIRPOSDENGAN OPTIMASI MANAJEMENSTOKMENGGUNAKANALGORITMA SIMULATEDANNEALING(SA),"Halim Maulana,S.T.,M.Kom"
IMPLEMENTASI ALGORITMA NAÏVE BAYES UNTUK MEMPREDIKSI PENYAKIT BIBIT SAWIT (STUDI KASUS PT. PLASMEN SISUMUT),"Fatma Sari Hutagalung S.Kom.,M.Kom"
PERANCANGAN SISTEM INFORMASI TIKET ONLINE PADA WISATA ARA GARDEN DI DESA BAHTERA MAKMUR,"Ferdy Riza,S.T.,M.Kom"
IMPLEMENTASI SISTEM INFORMASI PRESTASI AKADEMIK DAN NON-AKADEMIK BERBASIS WEB DI BIRO KEMAHASISWAAN DAN ALUMNI UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA MENGGUNAKAN METODE RAPID APPLICATION DEVELOPMENT (RAD),"Dr.Al-khowarizmi,S.Kom.,M.Kom"
PREDIKSI PENURUNAN HARGA MOBIL BEKAS MENGGUNAKAN DECISION TREE PADA SHOWROOMHABIB MOBIL,"Mahardika Abdi Prawira Tanjung S.Kom.,M.Kom"
PREDIKSI PRODUKSI MATERIAL DALAM PEMBUATAN MESIN BOILER MENGGUNAKAN METODE FUZZY TSUKAMOTO STUDI KASUS PT. ATMINDO TBK,"Mahardika Abdi Prawira Tanjung S.Kom.,M.Kom"
PENGARUH KUALITAS PELAYANAN TERHADAP KEPUASAN PELANGGAN MENGGUNAKAN METODE AHP DAN ROC STUDI KASUS INALUM,"Mhd.Basri,S.Si.,M.Kom"
SISTEM PENDUKUNG KEPUTUSAN DALAM PENERIMAAN BEASISWA MENGGUNAKAN METODE SIMPLE ADDITIVE WEIGHTING DI SMP IT IBNU HALIM,"Dr. Marah Doly Nasution, S.Pd.,M.Si"
PREDIKSI PENURUNAN HARGA SMARTPHONE BEKAS MENGGUNAKAN ALGORITMA DECISION TREE (STUDI KASUS MK CELULLAR),"Dr. Marah Doly Nasution, S.Pd.,M.Si"
PREDIKSI BIAYA SERVIS MOBIL MENGGUNAKAN METODE SINGLE EXPONENTIAL SMOOTHING BERDASARKAN DATA RIWAYAT SERVIS,"DR.Irfan,M.Si"
PERANCANGAN ANALISIS SENTIMEN PADA KOMENTAR SOSIAL MEDIA INSTAGRAM INDODAX TENTANG CRYPTOCURRENCY MENGGUNAKAN NAÏVE BAYES CLASSIFIER,"Yoshida Sari,S.E.,S.Kom.,M.Kom"
ANALISIS KINERJA ALGORITMA K-MEDOIDS DALAM CLUSTERING SISWA MAMPU DAN TIDAK MAMPU DI MAN 1 PANYABUNGAN,"Amrullah,S.Kom.,M.Kom"
ANALISIS KINERJA ALGORITMA LEVENSHTEIN DISTANCE DALAM PENGARSIPAN DOKUMEN REKAM MEDIS PADA PRAKTEK DOKTER INGAN,"Martiano,S.Pd.,S.Kom.,M.Kom"
Pengamanan Distribusi Data Kepegawaian Pada Badan Kepegawaian Provinsi Sumatera Utara Dengan Memanfaatkan Algoritma Kriptografi Asimetris RSA,"Ferdy Riza,S.T.,M.Kom"
ANALISIS KINERJA METODE MOORA PADA PENENTUAN PENERIMAAN BEASISWA MENTARI STUDI KASUS LAZISMU PELAJAR KOTA MEDAN,"Mulkan Azhari,S.Kom.,M.Kom"
PREDIKSI PENJUALAN PRODUK KUOTA DATA INTERNET MENGGUNAKAN METODE K-NEAREST NEIGHBOR (KNN) (STUDI KASUS: NAGA JAYA PONSEL),"Ferdy Riza,S.T.,M.Kom"
ANALISIS DAN PERANCANGAN SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN MAHASISWA BERPRESTASI DENGAN METODE PROFILE MATCHING PADA FAKULTAS ILMU KOMPUTER DAN TEKNOLOGI INFORMASI UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,"DR.Zainal Azis, M.Si"
Implementasi SPK Untuk Mentukan Kriteria Dalam Pemilihan Ketua IMM,"Amrullah,S.Kom.,M.Kom"
IMPLEMENTASI ALGORITMA DECISION TREE C4.5 DALAM MENGKLASIFIKASI DATA CURAH HUJAN UPT. BMKG KOTA MEDAN,"DR.Zainal Azis, M.Si"
"ANALISIS PERBANDINGAN METODE SMART, WP DAN AHP DALAM PEMILIHAN PERUSAHAAN UNTUK PENGADAAN BARANG PADA KANTOR BAGIAN PENGADAAN DAN TEKNOLOGI INFORMASI PT. PERKEBUNAN NUSANTARA IV REGIONAL 2","Amrullah,S.Kom.,M.Kom"
Penerapan Metode Weighted Sum Model Dalam Penentuan Lokasi Penyuluhan Keluarga Berencana Pada BKKBN Sumut,"Yoshida Sari,S.E.,S.Kom.,M.Kom"
Sistem Pendukung Keputusan Pemilihan Program Keluarga Berencana Menggunakan Metode Analitic Network Process (ANP),"Yoshida Sari,S.E.,S.Kom.,M.Kom"
IMPLEMENTASI KINERJA ALGORITMA BACKWARD CHAINING DALAM MENGIDENTIFIKASI KERUSAKAN TRUK MITSUBITSHI FUSO FN 572 ML PADA CV. MITRA SUMBER SUKSES,"Indah Purnama Sari,S.T.,M.Kom"
Analisis Regresi Linear Dalam Memprediksi Jumlah Stok Barang Sparepart HP Pada GMT,"Wilda Rina, S.T.,M.Kom"
ANALISIS KINERJA ALGORITMA LSTM DAN CNN UNTUK FORECASTING KELEMBABAN UDARA DI KOTA MEDAN,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
Perancangan Chatbot Menggunakan Metode Natural Language Processing (NLP) untuk Pelayanan Informasi pada Lazismu Kota Medan Menggunakan Artificial Intelligence,"Farid Akbar Siregar S.Kom.,M.Kom"
ANALISIS TINGKAT KEMATANGAN BUAH MANGGA BERBASIS CITRA DENGAN SEGMENTASI WARNA MENGGUNAKAN ALGORITMA RECURRENT NEURAL NETWORK (RNN),"Mhd.Basri,S.Si.,M.Kom"
PERANCANGAN iMESIN iPENETAS iTELUR iBURUNG iMURAI iBATU iDENGAN iMONITORING iESP32-CAM iBERBASIS iINTERNET iOF iTHINGS i(IoT),"Mhd.Basri,S.Si.,M.Kom"
PENGEMBANGAN SISTEM MONITORING KINERJA BABINSA 0205/TK DENGAN METODE COPRAS COMPLEX PROPORTIONAL ASSESSMENT,"Amrullah,S.Kom.,M.Kom"
KLASIFIKASI TELUR FERTIL DAN INFERTIL MENGGUNAKAN SEGMENTASI GAMBAR DENGAN ALGORITMA (CNN),"Martiano,S.Pd.,S.Kom.,M.Kom"
ANALISIS DAN PERANCANGAN SISTEM ANTRIAN ONLINE DENGAN METODE MULTI CHANNEL MULTI PHASE PADA DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KABUPATEN PADANG LAWAS,"Amrullah,S.Kom.,M.Kom"
DETEKSI KEMATANGAN BUAH SAWIT DENGAN MENGGUNAKAN ALGORITMA NEURAL NETWORK,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
Klasifikasi Jenis Tanaman Cabai Menggunakan Citra Digital Dan Regresi Linear Berganda,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
ANALISIS PREDIKSI CURAH HUJAN MENGGUNAKAN METODE FUZZY TIME SERIES DI KOTA MEDAN,"Wilda Rina, S.T.,M.Kom"
PREDIKSI HARGA JUAL KOMODITI KOPI ARABIKA DENGAN ALGORITMA REGRESI LINIER (STUDI KASUS KOPERASI USAHA TANI GAYO),"Martiano,S.Pd.,S.Kom.,M.Kom"
KLASIFIKASI DEFECT PADA BIJI KOPI ARABIKA MENGGUNAKAN METODE KNN (K-NEAREST NEIGHBOR) DI KOPERASI USAHA TANI GAYO KECAMATAN BEBESEB ACEH TENGAH,"Martiano,S.Pd.,S.Kom.,M.Kom"
ANALISIS CLUSTERING MENGGUNAKAN METODE K-MEANS DALAM PENGELOMPOKKAN MASYARAKAT KURANG MAMPU UNTUK PENENTUAN BANTUAN DANA DESA KWALA BESILAM,"Martiano,S.Pd.,S.Kom.,M.Kom"
PERANCANGAN SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN PAKET WISATA MENGGUNAKAN METODE MULTI-OBJECTIVE OPTIMIZATION ON THE BASIS OF RATIO ANALYSIS (MOORA) PT. AFLAH RIHLAH MAWADDAH,"Martiano,S.Pd.,S.Kom.,M.Kom"
PREDIKSI HARGA JUAL PADI TERHADAP POLA PENGASUHAN PADI MENGGUNAKAN METODE ARIMA DI DESA PEMATANG CENGKERING,"Mulkan Azhari,S.Kom.,M.Kom"
E-Diagnostic Penyakit Kulit Wajah Dalam Upaya Peningkatan Kualitas Layanan Dengan Menggunakan Metode Certainty Factor Di Klinik Kecantikan Mimie Aniez Beauty Care,"Dr.Firahmi Rizky,S.Kom.,M.Kom"
ANALISIS SENTIMEN PEMILIHAN PADA PEMILU 2024 MELALUI TWITTER: PENDEKATAN TEXT MINING DAN KLASIFIKASI K-MEANS,"Fatma Sari Hutagalung S.Kom.,M.Kom"
IMPLEMENTASI PENGAMBILAN KEPUTUSAN DALAM MENENTUKAN PEMBERIAN BONUS KARYAWAN DENGAN METODE VIKOR (Visekriterijumsko KOmpromisno Rangiranje) PADA PTPN IV KEBUN MARJANDI,"Wilda Rina, S.T.,M.Kom"
PENENTUAN MODEL CALON KREDITUR PADA PENJUALAN PERUMAHAN MENGGUNAKAN METODE AHP DI PERUSAHAAN PROPERTI PT BUNGSU SEJAHTERA DELI DI KABUPATEN DELI SERDANG,"Mulkan Azhari,S.Kom.,M.Kom"
SISTEM PAKAR DIAGNOSA PENYAKIT ERYTHROCYTOPENIA PADA IBU HAMIL MENGGUNAKAN METODE CERTAINTY FACTOR,"Dr.Firahmi Rizky,S.Kom.,M.Kom"
SISTEM PAKAR UNTUK MENDIAGNOSA PENYAKIT PADA TANAMAN KOPI ARABICA DENGAN METODE FORWARD CHAINING STUDI KASUS DI KOPERASI KOPI SUKATANI,"Martiano,S.Pd.,S.Kom.,M.Kom"
SEGMENTASI HUTAN LINDUNG TAMAN NASIONAL GUNUNG LEUSER SUMATERA UTARA MENGGUNAKAN ALGORITMA K-MEANS PADA CITRA SATELIT,"Ferdy Riza,S.T.,M.Kom"
E-DIAGNOSTIC DETEKSI DINI PENYAKIT TUBERCULOSIS PARU MENGGUNAKAN METODE CERTAINTY FACTOR,"Dr.Firahmi Rizky,S.Kom.,M.Kom"
Sistem Pendukung Keputusan untuk Mengidentifikasi Penyakit Malaria di Puskesmas Kuala Menggunakan Metode Naïve Bayes,"Halim Maulana,S.T.,M.Kom"
Penentuan Kualitas Tanaman Karet Menggunakan Metode Depmster Shafer,"Mhd.Basri,S.Si.,M.Kom"
ANALISIS METODE WASPAS DENGAN PEMBOBOTAN ROC UNTUK SELEKSI PENERIMA BANTUAN LANGSUNG TUNAI PADA MASYARAKAT KURANG MAMPU DESA MARBAU SELATAN,"Farid Akbar Siregar S.Kom.,M.Kom"
PENERAPAN METODE CUSTOMER SATISFACTION INDEX (CSI) DALAM SISTEM MANAGEMEN SERVICE RATING KEPUASAN PELANGGAN PADA KLINIK KECANTIKAN VQUEEN BEAUTY CARE AND AESTHETIC,"Yoshida Sari,S.E.,S.Kom.,M.Kom"
DETEKSI PENYAKIT TANAMAN PINANG BERBASIS ANDROID DENGAN MENGGUNAKAN ALGORITMA CONVOLUTIONAL NEURAL NETWORK (CNN),"Ferdy Riza,S.T.,M.Kom"
IMPLEMENTASI METODE WEIGHTED PRODUCT (WP) DALAMPEMILIHANPESTISIDATERBAIK(STUDIKASUS:KUD SUBUR MAKMUR DESA TELUK PANJI IV),"Fatma Sari Hutagalung S.Kom.,M.Kom"
Decision Support System (DSS) Memprediksi Kerusakan HP di Pioneer Service Menggunakan Algoritma C4.5 Berbasis Web,"Mhd.Basri,S.Si.,M.Kom"
Sistem Pendukung Keputusan Penentuan Kinerja Pegawai Terbaik Pada PT. Sago Nauli Menggunakan Metode Preference Selection Index,"Amrullah,S.Kom.,M.Kom"
Penentuan Kualitas Bibit Sawit Dengan Menggunakan Metode Fuzzy Tsukamoto Di PT.Tolan Tiga,"Mulkan Azhari,S.Kom.,M.Kom"
ANALISIS PREDIKSI PENYEBARAN PENYAKIT DEMAM BERDARAH DENGAN PENDEKATAN ENSEMBLE LEARNING DENGAN XGBOOST DAN RANDOM FOREST,"Halim Maulana,S.T.,M.Kom"
DIAGNOSA PENYAKIT HAMA UNTUK MENINGKATKAN KUALITAS PRODUKSI CABAI MENGGUNAKAN METODE CERTAINTY FACTOR STUDI KASUS KELOMPOK TANI DESA LUBUK CUIK,"Fatma Sari Hutagalung S.Kom.,M.Kom"
PREDIKSI DAN PEMODELAN JADWAL PERTANDINGAN SEPAK BOLA MENGGUNAKAN METODE FUZZY TSUKAMOTO,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
PERBANDINGAN METODE CERTAINTY FACTOR DAN FORWARD CHAINING UNTUK MENDIAGNOSA KELAYAKAN AIR MINUM UNTUK DIKONSUMSI,"Mulkan Azhari,S.Kom.,M.Kom"
SISTEM PAKAR UNTUK MENDETEKSI DINI STUNTING DAN STATUS GIZI BURUK PADA BALITA DENGAN MENGGUNAKAN METODE CERTAINTY FACTOR DI PUSKESMAS BINTANG BAYU,"Dr.Firahmi Rizky,S.Kom.,M.Kom"
"Implementasi algoritma Oreste (Organization, Rangement Et Synthese De Donnes Relationnelles) dan AHP (Analytical Hierarchy Process) dalam pengambilan keputusan untuk menentukan penerima jaminan kesehatan di Kelurahan Galang kota","Mahardika Abdi Prawira Tanjung S.Kom.,M.Kom"
PENERAPAN MODEL REGRESI LINEAR BERGANDA DALAM MEMBENTUK POLA PRIORITAS PENGGUNAAN ANGGARAN DANA DESA,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
ANALISIS PERBANDINGAN METODE K-MEANS DAN FUZZY CMEANS PADA DATA RASIO GINI DI SUMATERA UTARA,"Ferdy Riza,S.T.,M.Kom"
Prediksi Penjualan Obat Pada Klinik Pratama Anna Menggunakan Metode K-Nearest Neighbor,"Halim Maulana,S.T.,M.Kom"
PERBANDINGAN METODE MANHATTAN DAN EUCLIDEAN DALAM ANALISIS DATA RASIO GINI SUMATERA UTARA MENGGUNAKAN ALGORITMA K-MEANS,"Martiano,S.Pd.,S.Kom.,M.Kom"
Digitalisasi Pencarian Data Rekam Medis Berbasis Web di Klinik Pratama Anna menggunakan Algoritma C4.5,"Mhd.Basri,S.Si.,M.Kom"
SISTEM PAKAR MENDIAGNOSA PADA PENYAKIT YANG MENULAR LEWAT GIGITAN NYAMUK DENGAN MENGGUNAKAN METODE DAMSTER SHAFER,"Farid Akbar Siregar S.Kom.,M.Kom"
ANALISIS DAN PERANCANGAN ANTRIAN DENGAN METODE MULTI PHASE UNTUK OPTIMALISASI LAYANAN PAJAK KENDARAAN BERMOTOR (STUDI KASUS SAMSAT UPTBAPENDASU),"Yoshida Sari,S.E.,S.Kom.,M.Kom"
Penentuan Bonus Dan Tunjangan Kenaikan Gaji Karyawan Dengan Metode Promethee Studi Kasus CV. Sabatini,"Mahardika Abdi Prawira Tanjung S.Kom.,M.Kom"
ANALISA PERBANDINGAN ALGORITMA MULTINOMIAL NAÏVE BAYES DAN ADABOOST DALAM MENGKLASIFIKASIKAN SENTIMEN MASYARAKAT TERKAIT PINJAMAN ONLINE,"Mhd.Basri,S.Si.,M.Kom"
SENSITIVITAS METODE ARAS-F DALAM MENENTUKAN CO-INSTRUKTUR BAITUL ARQAM MAHASISWA (STUDI KASUS BIM UMSU),"Dr.Al-khowarizmi,S.Kom.,M.Kom"
ANALISIS KINERJA METODE ENTROPY- WASPAS DALAM MENENTUKAN PERJALANAN DINAS PEGAWAI BADAN PENDAPATAN DAERAH PROVINSI SUMATERA UTARA,"Halim Maulana,S.T.,M.Kom"
Diagnosis Penyakit Pada Kucing Anggora Dalam Menentukan Jumlah Tagihan Serta Perobatan Dengan Menggunakan Algoritma Bayes,"Martiano,S.Pd.,S.Kom.,M.Kom"
Deteksi Mandiri Mental Health Pada Mahasiswa Akhir UMSU Menggunakan Metode Certainty Factor,"Amrullah,S.Kom.,M.Kom"
RANCANG BANGUN WEBSITE MONITORING BERBASIS RAPID APPLICATION DEVELOPMENT (RAD),"Farid Akbar Siregar S.Kom.,M.Kom"
PERANCANGAN UI/UX APLIKASI PENJUALAN KOPI MENGGUNAKAN METODE DESIGN THINKING PADA UKM MEULAWI COFFEE BERBASIS WEB,"Yoshida Sari,S.E.,S.Kom.,M.Kom"
PERANCANGAN SISTEM INFORMASI PENERIMAAN SISWA BARU BERKEBUTUHAN KHUSUS DENGAN METODE END USER DEVELOPMENT PADA YAYASAN BINA ANANDA MANDIRI,"Halim Maulana,S.T.,M.Kom"
ANALISIS DAN PENERAPAN SEARCH ENGINE OPTIMIZATION PADA WEBSITE MENGGUNAKA METODE WHITE HAT SEO (Studi Kasus : PT. Kodinglab Integritasi Indonesia),"Yoshida Sari,S.E.,S.Kom.,M.Kom"
PERANCANGAN SISTEM INFORMASI PENGELOLAAN E-ARSIP MENGGUNAKAN METODE RAD DAN ALGORITMA SEQUENTIAL SEARCHING DI KELURAHAN PANDAU HULU II,"Mhd.Basri,S.Si.,M.Kom"
AUDIT SISTEM INFORMASI PADA APLIKASI SIGA (SISTEM INFORMASI GADAI) MENGGUNAKAN FRAMEWORK COBIT 5.0 (STUDI KASUS: PT INDONESIA GADAI OKE),"Martiano,S.Pd.,S.Kom.,M.Kom"
SISTEM PAKAR MENENTUKAN DETEKSI KERUSAKAN MOBIL MENGGUNAKAN METODE DEMPSTER SHAFER,"Ferdy Riza,S.T.,M.Kom"
RANCANG BANGUN SISTEM PENGELOLAAN ARSIP DATA BERBASIS WEB MENGGUNAKAN METODE WATERFALL (Studi Kasus : Kantor Lurah Teladan Barat),"Dr. Marah Doly Nasution, S.Pd.,M.Si"
ANALISIS IMPLEMENTASI KEAMANA JARINGAN MENGGUNAKAN METODE PORT BLOCKING DI UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA (STUDI KASUS: IT UMSU),"Halim Maulana,S.T.,M.Kom"
PERANCANGAN USER INTERFACE SYSTEM ONLINE PAYMENT POINT DI KANTOR POS INDONESIA CABANG SARIMATONDANG DENGAN MENGGUNAKAN METODE DESIGN THINKING,"Mhd.Basri,S.Si.,M.Kom"
Sistem Informasi Data Kependudukan Berbasis Web Dengan Metode Sequential Search Di Kelurahan Tanjung Pinggir Kecamatan Siantar Martoba,"Ferdy Riza,S.T.,M.Kom"
IMPLEMENTASI METODE TOPSIS PADA SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN EKSTRAKULIKULER DI MAS AL WASHLIYAH 12 PERBAUNGAN,"Fatma Sari Hutagalung S.Kom.,M.Kom"
ANALISIS DAN IMPLEMENTASI SISTEM INFORMASI ADMINISTRASI KEPENDUDUKAN KANTOR DESA PASANG LELA BERBASIS WEB,"Halim Maulana,S.T.,M.Kom"
MODEL ASOSIASI DALAM PENYELEKSI BANTUAN BEDAH RUMAH DENGAN MENGGUNAKAN ALGORITMA APRIORI DI KELURAHAN NELAYAN INDAH,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
ANALISIS DAN PERANCANGAN PENENTUAN PENERIMAAN BANTUAN SOSIAL PADA KANTOR DESA HELVETIA DENGAN METODE SIMPLE ADDITIVE WEIGHTING (SAW),"DR.Irfan,M.Si"
"IMPLEMENTASI METODE SIMPLE ADDITIVE WEIGTHING (SAW) UNTUK MENENTUKAN BIBIT JAGUNG UNGGUL (Studi Kasus : Kelompok Tani Bersama No 03 Desa Huta Nauli, Kecamatan Ranto Baek, Kabupaten Mandailing Natal, Provinsi Sumatera Utara)","Fatma Sari Hutagalung S.Kom.,M.Kom"
PERANCANGAN SISTEM APLIKASI PENDATAAN MEMBERSHIP GYM MENGGUNAKAN METODE USDP (UNIFIED SOFTWARE DEVELOPMENT PROCESS) BERBASIS WEB STUDI KASUS: ONE - R GYM,"Indah Purnama Sari,S.T.,M.Kom"
PERANCANGAN USER INTERFACE APLIKASI GADAI OKE BERBASIS MOBILE DENGAN METODE USER CENTERED DESIGN (UCD) PADA PT. INDONESIA GADAI OKE,"Martiano,S.Pd.,S.Kom.,M.Kom"
SISTEM PAKAR DIAGNOSA AUTISM SPECTRUM DISORDER (ASD) PADA ANAK MENGGUNAKAN METODE FORWARD CHAINING,"Martiano,S.Pd.,S.Kom.,M.Kom"
IMPLEMENTASI KEAMANAN WEBSITE DARI SERANGAN CROSS SITE REQUEST FORGERY MENGGUNAKAN ALGORITMA RIJNDAEL PADA FRAMEWORK CODEIGNITER,"Ferdy Riza,S.T.,M.Kom"
ANALISIS DAN IMPLEMENTASI METODE HONEYPOT DALAM PENERIMAAN PESERTA DIDIK BARU (PPDB) PADA SD MUHAMMADIYAH 3 SIBOLGA,"Halim Maulana,S.T.,M.Kom"
TEM PENDUKUNG KEPUTUSAN IDENTIFIKASI PENERIMA BANTUAN SOSIAL NON TUNAI PROGRAM KELUARGA HARAPAN (PKH) BAGI KELUARGA TIDAK MAMPU DI KABUPATEN TOBA KELURAHAN PATANE III MENGGUNAKAN METODE SIMPLE ADDITIVE WEIGHTING (SAW),"Halim Maulana,S.T.,M.Kom"
PERAN METODE SIMPLE ADDITIVE WEIGHTING (SAW) DALAM SISTEM PENDUKUNG KEPUTUSAN SEBAGAI ACUAN PENENTUAN PENERIMA BEASISWA PADA BIRO KEMAHASISWAAN DAN ALUMNI UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
IMPLEMENTASI METODE WEIGHTED PRODUCT (WP) DALAM MENENTUKAN JURUSAN BAGI SMKN 1 RANAH BATAHAN,"Martiano,S.Pd.,S.Kom.,M.Kom"
Sistem Pendukung Keputusan Pemilihan Jenis Ikan Berdasarkan Kualitas Air Dengan Metode Moora (Multi Objective Optimization On The Basis Of Ratio Analysis),"Farid Akbar Siregar S.Kom.,M.Kom"
PERANCANG SISTEM INFORMASI PENGADUAN BARANG HILANG MENGGUNAKAN METODE PROTOTYPE BERBASIS WEB STUDI KASUS JNE AMPLAS TRADE CENTER,"Indah Purnama Sari,S.T.,M.Kom"
Sistem.Pakar Diagnosa Penyakit Pada Gigi.Menggunakan.Metode Teorema.Baye,"Amrullah,S.Kom.,M.Kom"
PERANCANGAN SISTEM INFORMASI SURAT PERINTAH PERJALANAN DINAS BERBASIS WEB PADA KANTOR IMIGRASI KELAS II TPI BELAWAN,"Yoshida Sari,S.E.,S.Kom.,M.Kom"
IMPLEMENTASI ALGORITMA APRIORI DALAM PEMBUATAN SISTEM UNTUK PREDIKSI PENJUALAN OBAT PADA APOTEK KELUARGA,"Ferdy Riza,S.T.,M.Kom"
PENERAPAN METODE SCRUM PADA PERANCANGAN SISTEM INFORMASI LAPORAN PEMBAYARAN TAGIHAN AIR PADA BUMDES MBINALUN,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
ADVOKASI HUKUM HAK MASYARAKAT DESA LALANG MEDANG DERAS KABUPATEN BATU BARA DALAM PENERIMAAN TANGGUNG JAWAB SOSIAL LINGKUNGAN PT. INDONESIA ASAHAN ALUMINIUM,"Dr.MHD Teguh Syuhada Lubis S.H.,M.H"
Advokasi Hukum Prinsip-Prinsip Hukum Internasional Tentang Hak Anak Sebagai Upaya Peningkatan Kesadaran Kepada Pekerja Migran Indonesia Di Malaysia,"Dr.Faisal,S.H.,M.Hum"
Akibat Hukum Terhadap Jual Beli Tanah Warisan Tanpa Adanya Persetujuan Dari Ahli Waris Lain,"Rizka Syafrina, S.H.M.Kn"
Akibat Hukum Aparatur Sipil Negara (Asn) Yang Melakukan Perceraian Tanpa Persetujuan Atasan (Studi Kasus di Kantor Kecamatan Kotanopan),"Burhanuddin, S.H.,M.H"
AKIBAT HUKUM APARATUR SIPIL NEGARA (ASN) YANG MELAKUKAN PERCERAIAN TANPA PERSETUJUAN ATASAN (Studi Kasus di Kantor Kecamatan Kotanopan),"Burhanuddin, S.H.,M.H"
AKIBAT HUKUM ATAS PEMUTUSAN HUBUNGAN KERJA SECARA SEPIHAK YANG DILAKUKAN DIREKTUR PT SUMBER LAUTAN REJEKI KEPADA TENAGA KERJA (STUDI PUTUSAN NOMOR 10/PDT.SUS-PHI/2024/PN MDN),"Dr.Andryan,S.H.,M.H"
Akibat Hukum Bagi Masyarakat Yang Melakukan Perceraian Diluar Pengadilan,"Muklis,S.H.,M.H"
Akibat Hukum Bagi Pegawai Negeri Sipil Yang Melakukan Perceraian Tanpa Izin Pejabat (Studi Di Pengadilan Agama Medan),"Dr.Ramlan,S.H.,M.H"
Akibat Hukum Ekonomi Pada Pencabutan Izin Usaha Pt. Asuransi Jiwa Nusantara Terhadap Nasabah Yang Sudah Terdaftar Sebagai Anggota (Studi Ojk Region 5 Medan),"Mirsa Astuti,S.H.,M.H"
AKIBAT HUKUM FORCE MAJEURE TERHADAP PERJANJIAN KREDIT DENGAN JAMINAN HAK TANGGUNGAN,"Dr.M. Syukran Yamin Lubis, S.H.,M.H"
Akibat Hukum Hibah Harta Bersama Kepada Anak Sebelum Terjadinya Perceraian (Analisis Putusan MA Nomor 154/K/Pdt/2012),"Dra.Salmi Abbas, MA"
Akibat Hukum Itsbat Nikah Poligami Yang Dilakukan Oleh Pegawai Sipil (Studi Putusan Pengadilan Tinggi Agama Mataram Nomor: 93/Pdt.G/2014/PTA.Mtr),"Zainuddin, S.H., M.H"
Akibat Hukum Jual Beli Tanah Yang Dinyatakan Sebagai Harta Boedel Pailit Oleh Kurator (Analisis Putusan Nomor 1452 K/Pdt.Sus Pailit/2017),"Nursariani Simatupang,S.H.,M.Hum"
